ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L,PSW,PSL,MaxW,MaxL,AvgW,AvgL
5,Melbourne,Australian Open,17/01/2022,Grand Slam,Outdoor,Hard,1st Round,5,Shapovalov D.,Djere L.,14,51,2593,1156,7,6,6,4,3,6,7,6,,,3,1,Completed,1.1,7,1.07,10.98,1.14,10.98,1.1,7.09
5,Melbourne,Australian Open,17/01/2022,Grand Slam,Outdoor,Hard,1st Round,5,Kwon S.W.,Rune H.,54,99,1085,742,3,6,6,4,3,6,6,3,6,2,3,2,Completed,1.66,2.2,1.64,2.42,1.78,2.42,1.68,2.18
5,Melbourne,Australian Open,17/01/2022,Grand Slam,Outdoor,Hard,1st Round,5,Lajovic D.,Fucsovics M.,39,35,1346,1457,6,3,4,6,6,1,6,7,6,1,3,2,Completed,3.2,1.36,3.43,1.36,3.45,1.42,3.2,1.35
5,Melbourne,Australian Open,17/01/2022,Grand Slam,Outdoor,Hard,1st Round,5,Vukic A.,Harris L.,144,33,477,1473,4,6,6,3,7,5,7,6,,,3,1,Completed,3.5,1.3,3.47,1.36,3.75,1.36,3.41,1.31
5,Melbourne,Australian Open,17/01/2022,Grand Slam,Outdoor,Hard,1st Round,5,Garin C.,Bagnis F.,19,72,2375,868,6,3,6,4,5,7,6,7,6,3,3,2,Completed,1.5,2.62,1.52,2.75,1.57,2.88,1.49,2.6
5,Melbourne,Australian Open,17/01/2022,Grand Slam,Outdoor,Hard,1st Round,5,Martinez P.,Delbonis F.,61,38,1001,1347,7,6,3,6,6,4,6,2,,,3,1,Completed,1.3,3.5,1.3,3.89,1.31,3.91,1.28,3.64
5,Melbourne,Australian Open,17/01/2022,Grand Slam,Outdoor,Hard,1st Round,5,Bonzi B.,Gojowczyk P.,63,82,979,802,6,3,6,3,6,3,,,,,3,0,Completed,1.36,3.2,1.36,3.47,1.44,3.52,1.35,3.19
5,Melbourne,Australian Open,17/01/2022,Grand Slam,Outdoor,Hard,1st Round,5,Albot R.,Nishioka Y.,124,119,587,610,6,3,6,4,4,6,6,2,,,3,1,Completed,2,1.8,1.93,1.97,2.2,1.97,2,1.81
5,Melbourne,Australian Open,17/01/2022,Grand Slam,Outdoor,Hard,1st Round,5,Alcaraz C.,Tabilo A.,31,135,1609,518,6,2,6,2,6,3,,,,,3,0,Completed,1.16,5,1.16,6.3,1.24,6.3,1.17,5.2
5,Melbourne,Australian Open,17/01/2022,Grand Slam,Outdoor,Hard,1st Round,5,Kozlov S.,Vesely J.,169,78,401,824,7,5,6,3,6,4,,,,,3,0,Completed,2.62,1.5,2.66,1.54,2.73,1.58,2.58,1.5
5,Melbourne,Australian Open,17/01/2022,Grand Slam,Outdoor,Hard,1st Round,5,Monfils G.,Coria F.,20,64,2373,976,6,1,6,1,6,3,,,,,3,0,Completed,1.04,13,1.03,18.65,1.05,21,1.03,14.34
5,Melbourne,Australian Open,17/01/2022,Grand Slam,Outdoor,Hard,1st Round,5,Berrettini M.,Nakashima B.,7,68,4568,917,4,6,6,2,7,6,6,3,,,3,1,Completed,1.3,3.5,1.36,3.43,1.38,3.86,1.31,3.43
5,Melbourne,Australian Open,17/01/2022,Grand Slam,Outdoor,Hard,1st Round,5,Khachanov K.,Kudla D.,30,105,1748,714,3,6,6,3,6,2,7,6,,,3,1,Completed,1.12,6,1.11,7.95,1.13,8,1.1,6.92
