ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L,PSW,PSL,MaxW,MaxL,AvgW,AvgL
36,London,Wimbledon,28/06/2021,Grand Slam,Outdoor,Grass,1st Round,5,Djokovic N.,Draper J.,1,253,12113,255,4,6,6,1,6,2,6,2,,,3,1,Completed,1.01,26,1.01,33.67,1.01,51,1.01,24.52
36,London,Wimbledon,28/06/2021,Grand Slam,Outdoor,Grass,1st Round,5,Tiafoe F.,Tsitsipas S.,57,4,1148,7980,6,4,6,4,6,3,,,,,3,0,Completed,5.5,1.14,5.65,1.18,6.5,1.2,5.5,1.15
36,London,Wimbledon,28/06/2021,Grand Slam,Outdoor,Grass,1st Round,5,Kecmanovic M.,Bagnis F.,49,92,1309,828,6,4,3,6,6,3,7,6,,,3,1,Completed,1.1,7,1.1,8.81,1.11,9,1.09,7.56
36,London,Wimbledon,28/06/2021,Grand Slam,Outdoor,Grass,1st Round,5,Anderson K.,Barrios M.,102,209,753,334,6,7,6,4,6,4,7,6,,,3,1,Completed,1.25,4,1.29,4.01,1.29,4.15,1.26,3.86
36,London,Wimbledon,28/06/2021,Grand Slam,Outdoor,Grass,1st Round,5,Kudla D.,Davidovich Fokina A.,114,35,698,1723,5,7,4,6,7,6,6,3,6,3,3,2,Completed,1.9,1.9,2.02,1.88,2.05,1.91,1.96,1.84
36,London,Wimbledon,28/06/2021,Grand Slam,Outdoor,Grass,1st Round,5,Seppi A.,Sousa J.,90,120,863,682,4,6,6,4,7,5,6,2,,,3,1,Completed,1.44,2.75,1.47,2.9,1.48,2.97,1.45,2.75
36,London,Wimbledon,28/06/2021,Grand Slam,Outdoor,Grass,1st Round,5,Fucsovics M.,Sinner J.,48,23,1344,2320,5,7,6,3,7,5,6,3,,,3,1,Completed,2.62,1.5,2.95,1.46,2.95,1.5,2.77,1.45
36,London,Wimbledon,28/06/2021,Grand Slam,Outdoor,Grass,1st Round,5,Bautista Agut R.,Millman J.,10,43,3125,1521,6,2,3,6,6,3,7,6,,,3,1,Completed,1.22,4.33,1.2,5.18,1.22,5.5,1.19,4.79
36,London,Wimbledon,28/06/2021,Grand Slam,Outdoor,Grass,1st Round,5,Vesely J.,Hanfmann Y.,72,99,954,793,6,1,7,5,7,6,,,,,3,0,Completed,1.53,2.5,1.55,2.65,1.57,2.75,1.53,2.52
36,London,Wimbledon,28/06/2021,Grand Slam,Outdoor,Grass,1st Round,5,Rublev A.,Delbonis F.,7,47,6120,1360,4,6,6,4,6,1,6,2,,,3,1,Completed,1.03,15,1.03,18.18,1.05,18.18,1.03,13.45
36,London,Wimbledon,28/06/2021,Grand Slam,Outdoor,Grass,1st Round,5,Khachanov K.,Mcdonald M.,29,108,1965,735,3,6,6,3,6,4,7,6,,,3,1,Completed,1.61,2.3,1.67,2.36,1.67,2.55,1.59,2.38
